#,ID,ANO,MÊS,ESCOLA,ITEM,CATEGORIA,PRESTADOR,Tipo,DATA_VENCIMENTO,DATA_PAGAMENTO,VALOR,BALANÇO,TIPO_DE_PAGAMENTO,CONTABILIDADE,STATUS
59,202408_59,2024,10. Outubro,IEI IRMÃO MÁRIO FRIGO        ,Parcela 3/4 - Arquitetos Voluntários,Doação Direta,Associação Arquitetos Voluntários,Saída,10/12/2024,,-R$  50.000 , R$  780.500 ,,Saída,Forecast
60,202408_60,2024,10. Outubro,IEI SÃO VICENTE DE PAULO (CONSERVIR)      ,Parcela 3/4 - Arquitetos Voluntários,Doação Direta,Associação Arquitetos Voluntários,Saída,10/12/2024,,-R$  50.000 , R$  730.500 ,,Saída,Forecast
61,202408_61,2024,10. Outubro,IEI VITÓRIA,Parcela 3/4 - Arquitetos Voluntários,Doação Direta,Associação Arquitetos Voluntários,Saída,10/12/2024,,-R$  37.500 , R$  693.000 ,,Saída,Forecast
62,202408_62,2024,11. Novembro,EEI NOSSA SENHORA DOS NAVEGANTES        ,Parcela 4/4 - Arquitetos Voluntários,Doação Direta,Associação Arquitetos Voluntários,Saída,11/12/2024,,-R$  37.500 , R$  655.500 ,,Saída,Forecast
63,202408_63,2024,11. Novembro,IEI IRMÃO MÁRIO FRIGO        ,Parcela 4/4 - Arquitetos Voluntários,Doação Direta,Associação Arquitetos Voluntários,Saída,11/12/2024,,-R$  50.000 , R$  605.500 ,,Saída,Forecast
64,202408_64,2024,11. Novembro,IEI SÃO VICENTE DE PAULO (CONSERVIR)      ,Parcela 4/4 - Arquitetos Voluntários,Doação Direta,Associação Arquitetos Voluntários,Saída,11/12/2024,,-R$  50.000 , R$  555.500 ,,Saída,Forecast
65,202408_65,2024,11. Novembro,IEI VITÓRIA,Parcela 4/4 - Arquitetos Voluntários,Doação Direta,Associação Arquitetos Voluntários,Saída,11/12/2024,,-R$  37.500 , R$  518.000 ,,Saída,Forecast
66,202408_66,2024,11. Novembro,IEI TECNOBABY        ,Parcela 2/4 - Construtora - Mão de Obra e Materiais,Empreitada - Prestador Próprio,D&G Eletro Soluções,Saída,11/12/2024,,-R$  56.851 , R$  461.149 ,,Saída,Forecast
67,202408_67,2024,11. Novembro,IEI TECNOBABY        ,Parcela 3/4 - Construtora - Mão de Obra e Materiais,Empreitada - Prestador Próprio,D&G Eletro Soluções,Saída,11/12/2024,,-R$  56.851 , R$  404.298 ,,Saída,Forecast
68,202408_68,2024,11. Novembro,IEI TECNOBABY        ,Parcela 4/4 - Construtora - Mão de Obra e Materiais,Empreitada - Prestador Próprio,D&G Eletro Soluções,Saída,11/12/2024,,-R$  56.851 , R$  347.447 ,,Saída,Forecast
